,title,artist,top genre,year,added,bpm,Energy,Dance,dB,live,val,dur,acous,spch,pop
1,Calm Down (with Selena Gomez),Rema,afrobeats,2022,2023‑04‑30,107,81,80,-5,11,80,239,38,4,96
2,Perfect,Ed Sheeran,pop,2017,2023‑04‑30,95,45,60,-6,11,17,263,16,2,90
3,No Role Modelz,J. Cole,conscious hip hop,2014,2023‑04‑30,100,52,69,-8,5,49,293,32,34,90
4,El Merengue,Marshmello,brostep,2023,2023‑04‑30,124,68,78,-5,11,70,189,3,4,90
5,Watermelon Sugar,Harry Styles,pop,2019,2023‑04‑30,95,82,55,-4,34,56,174,12,5,89
6,Believer,Imagine Dragons,modern rock,2017,2023‑04‑30,125,78,78,-4,8,67,204,6,13,89
7,Gangsta's Paradise,Coolio,g funk,1995,2023‑04‑30,80,51,65,-10,40,39,241,7,6,88
8,Sunroof,Nicky Youre,,2021,2023‑04‑30,131,71,77,-5,15,84,163,35,4,88
9,Wake Me Up,Avicii,edm,2013,2023‑04‑30,124,78,53,-6,16,64,247,0,5,87
10,Mr. Brightside,The Killers,alternative rock,2004,2023‑04‑30,148,91,35,-5,10,24,223,0,7,87
11,The Nights,Avicii,edm,2014,2023‑04‑30,126,84,53,-5,25,65,177,2,4,87
12,There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop,2017,2023‑04‑30,122,81,87,-4,8,97,199,38,6,87
13,Take on Me,a-ha,new romantic,1985,2023‑04‑30,84,90,57,-8,9,88,225,2,5,87
14,Say You Won't Let Go,James Arthur,pop,2016,2023‑04‑30,85,56,36,-7,9,49,211,70,6,87
15,All Girls Are The Same,Juice WRLD,chicago rap,2018,2023‑04‑30,162,53,67,-7,9,20,166,8,31,87
16,Every Breath You Take,The Police,album rock,1983,2023‑04‑30,117,45,82,-10,7,74,254,54,3,87
17,STAY (with Justin Bieber),The Kid LAROI,australian hip hop,2021,2023‑04‑30,170,76,59,-5,10,48,142,4,5,86
18,good 4 u,Olivia Rodrigo,pop,2021,2023‑04‑30,167,66,56,-5,8,69,178,34,15,86
19,Hips Don't Lie (feat. Wyclef Jean),Shakira,colombian pop,2005,2023‑04‑30,100,82,78,-6,41,76,218,28,7,86
20,Thunder,Imagine Dragons,modern rock,2017,2023‑04‑30,168,82,61,-5,15,29,187,1,4,86
21,God's Plan,Drake,canadian hip hop,2018,2023‑04‑30,77,45,75,-9,55,36,199,3,11,86
22,HUMBLE.,Kendrick Lamar,conscious hip hop,2017,2023‑04‑30,150,62,91,-7,10,42,177,0,10,86
23,All of Me,John Legend,neo soul,2013,2023‑04‑30,120,26,42,-7,13,33,270,92,3,86
24,Livin' On A Prayer,Bon Jovi,glam metal,1986,2023‑04‑30,123,89,53,-4,29,80,249,8,3,86
25,Dream On,Aerosmith,album rock,1973,2023‑04‑30,78,48,39,-8,31,23,268,40,2,86
26,Beggin',Måneskin,indie rock italiano,2017,2023‑04‑30,134,80,71,-5,36,59,212,13,5,85
27,7 rings,Ariana Grande,pop,2019,2023‑04‑30,140,32,78,-11,9,33,179,59,33,85
28,Ni**as In Paris,JAY-Z,east coast hip hop,2011,2023‑04‑30,140,86,79,-6,35,78,219,13,31,85
29,rockstar (feat. 21 Savage),Post Malone,dfw rap,2018,2023‑04‑30,160,52,59,-6,13,13,218,12,7,85
30,Stay With Me,Sam Smith,pop,2014,2023‑04‑30,84,42,42,-6,11,18,173,59,4,85
31,Love Yourself,Justin Bieber,canadian pop,2015,2023‑04‑30,100,38,61,-10,28,52,234,84,44,85
32,Wet Dreamz,J. Cole,conscious hip hop,2014,2023‑04‑30,176,72,50,-8,11,54,239,7,36,85
33,Bound 2,Kanye West,chicago rap,2013,2023‑04‑30,149,67,37,-3,11,31,229,14,5,85
34,Lucid Dreams,Juice WRLD,chicago rap,2018,2023‑04‑30,84,57,51,-7,34,22,240,35,20,85
35,Thunderstruck,AC/DC,australian rock,1990,2023‑04‑30,134,89,50,-5,22,26,293,0,4,85
36,Back In Black,AC/DC,australian rock,1980,2023‑04‑30,188,70,31,-6,8,76,255,1,5,85
37,Highway to Hell,AC/DC,australian rock,1979,2023‑04‑30,116,91,57,-5,16,42,208,6,13,85
